scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval,scheme_name_hi,scheme_name_mr,scheme_goal_hi,scheme_goal_mr,eligibility_hi,eligibility_mr,benefits_hi,benefits_mr,application_process_hi,application_process_mr,total_returns_hi,total_returns_mr,time_duration_hi,time_duration_mr
Digital Savings Initiative,Government,0-18,All,All,Below Poverty Line,West Bengal,Promoting savings among children and youth,Students and young persons,"Encourages savings, financial literacy sessions",Online registration or bank visit,https://finmin.gov.in/dsi,Interest rate 4% p.a.,,,,अंकीय बचत पहल,डिजिटल बचत उपक्रम,बच्चों और युवाओं के बीच बचत को बढ़ावा देना,मुले आणि तरुणांमधील बचतीचा प्रचार करणे,छात्र और युवा व्यक्ति,विद्यार्थी आणि तरुण व्यक्ती,"बचत, वित्तीय साक्षरता सत्र को प्रोत्साहित करता है","बचत, आर्थिक साक्षरता सत्रांना प्रोत्साहित करते",ऑनलाइन पंजीकरण या बैंक यात्रा,ऑनलाइन नोंदणी किंवा बँक भेट,ब्याज दर 4% पी.ए.,व्याज दर 4% पी.ए.,,
Pradhan Mantri Pension Yojana,Government,60+,All,All,All,All,Pension for senior citizens,Senior citizens with pension proof,Monthly pension benefits,Form submission at local offices or online,https://pension.gov.in,Interest rate 7-10%,Lifetime,,Monthly,Pradhan Mantri Pension Yojana,पंतप्रधान पेन्शन योजना,वरिष्ठ नागरिकों के लिए पेंशन,ज्येष्ठ नागरिकांसाठी पेन्शन,पेंशन प्रमाण के साथ वरिष्ठ नागरिक,पेन्शन पुरावा असलेले ज्येष्ठ नागरिक,मासिक पेंशन लाभ,मासिक पेन्शन लाभ,स्थानीय कार्यालयों या ऑनलाइन पर फॉर्म सबमिशन,स्थानिक कार्यालयांमध्ये किंवा ऑनलाईनवर फॉर्म सबमिशन,ब्याज दर 9-13%,व्याज दर 7-10%,जीवनभर,आजीवन
Microfinance for Women,Private,19-60,Female,OBC,Below Poverty Line,Rural,Microcredit for women entrepreneurs,Women entrepreneurs with business plan,"Loan at concessional rates, business development support",Application through approved microfinance institutions,https://microfinance.org/women,Interest rate 10% p.a.,3 years,,Monthly,महिलाओं के लिए माइक्रोफाइनेंस,महिलांसाठी मायक्रोफायनान्स,महिला उद्यमियों के लिए microcredit,महिला उद्योजकांसाठी मायक्रोक्रेडिट,व्यवसाय योजना के साथ महिला उद्यमी,व्यवसाय योजनेसह महिला उद्योजक,"रियायती दरों पर ऋण, व्यवसाय विकास सहायता","सवलतीच्या दरावर कर्ज, व्यवसाय विकास समर्थन",अनुमोदित माइक्रोफाइनेंस संस्थानों के माध्यम से आवेदन,मंजूर मायक्रोफायनान्स संस्थांद्वारे अर्ज,ब्याज दर 10% पी.ए.,व्याज दर 10% पी.ए.,3 वर्ष,3 वर्षे
Startup India Loan Scheme,Government,19-35,All,All,Middle,All,Funding for startups,"Startups registered in India, business plan approval","Low interest loans, mentorship","Online application, pitch to approval committee",https://startup.gov.in/loans,Interest rate 8% p.a.,5 years,,Quarterly,स्टार्टअप भारत ऋण योजना,स्टार्टअप इंडिया कर्ज योजना,स्टार्टअप के लिए धन,स्टार्टअप्ससाठी निधी,"भारत में पंजीकृत स्टार्टअप, व्यवसाय योजना अनुमोदन","भारतात नोंदणीकृत स्टार्टअप्स, व्यवसाय योजना मंजूर","कम ब्याज ऋण, मेंटरशिप","कमी व्याज कर्ज, मार्गदर्शकत्व","ऑनलाइन आवेदन, अनुमोदन समिति के लिए पिच","ऑनलाईन अर्ज, मंजुरी समितीला खेळपट्टी",ब्याज दर 8% पी.ए.,व्याज दर 8% पी.ए.,5 साल,5 वर्षे
Urban Skill Development Fund,Private,19-35,All,All,Middle,Urban,Skill enhancement and employment,Job seekers and students,"Training subsidies, job placement support",Application through training centers or online,https://skilldev.org/urban,Annual return 4-6%,1 year,,,शहरी कौशल विकास निधि,शहरी कौशल्य विकास निधी,कौशल वृद्धि और रोजगार,कौशल्य वाढ आणि रोजगार,नौकरी चाहने वाले और छात्र,नोकरी शोधणारे आणि विद्यार्थी,"प्रशिक्षण सब्सिडी, नौकरी प्लेसमेंट समर्थन","प्रशिक्षण अनुदान, जॉब प्लेसमेंट समर्थन",प्रशिक्षण केंद्रों या ऑनलाइन के माध्यम से आवेदन,प्रशिक्षण केंद्रांद्वारे किंवा ऑनलाइनद्वारे अर्ज,ब्याज दर 6-8%,वार्षिक परतावा 5-7%,1 वर्ष,1 वर्ष
Rural Employment Guarantee Scheme,Government,18-60,All,All,Below Poverty Line,Rural,Employment generation,Rural households with unemployment issues,"Guaranteed employment, wage payments",Register at local employment offices,https://mp.gov.in/employment,Interest rate 6-8%,1 year,,,ग्रामीण रोजगार गारंटी योजना,ग्रामीण रोजगार हमी योजना,रोजगार सृजन,रोजगार निर्मिती,बेरोजगारी के मुद्दों के साथ ग्रामीण परिवार,बेरोजगारीच्या समस्यांसह ग्रामीण कुटुंबे,"गारंटीकृत रोजगार, मजदूरी भुगतान","हमी रोजगार, वेतन देयके",स्थानीय रोजगार कार्यालयों में पंजीकरण,स्थानिक रोजगार कार्यालयात नोंदणी करा,वार्षिक रिटर्न 6-9%,व्याज दर 6-8%,1 वर्ष,1 वर्ष
Educational Loan Scheme,Private,18-30,All,All,Middle,All,Funding higher education,Students admitted to recognized institutions,"Low interest rates, deferred repayment options",Apply through banks or educational institutions,https://banking.gov.in/educationloan,Interest rate 9% p.a.,10 years,,Monthly,शैक्षिक ऋण योजना,शैक्षणिक कर्ज योजना,उच्च शिक्षा का वित्तपोषण,उच्च शिक्षणासाठी वित्तपुरवठा,छात्रों ने मान्यता प्राप्त संस्थानों में प्रवेश किया,विद्यार्थ्यांनी मान्यताप्राप्त संस्थांमध्ये प्रवेश घेतला,"कम ब्याज दर, आस्थगित पुनर्भुगतान विकल्प","कमी व्याज दर, स्थगित परतफेड पर्याय",बैंकों या शैक्षणिक संस्थानों के माध्यम से आवेदन करें,बँका किंवा शैक्षणिक संस्थांद्वारे अर्ज करा,ब्याज दर 9% पी.ए.,व्याज दर 9% पी.ए.,10 वर्ष,10 वर्षे
Women Self-Help Groups Support,Government,19-60,Female,OBC,Below Poverty Line,Rural,Empowering women through finance,Women in SHGs,"Microcredit, training, market linkage",Application via SHG federation,https://women.gov.in/shg,Interest rate 6% p.a.,2 years,,Monthly,महिलाएं स्व-सहायता समूह समर्थन करती हैं,महिला स्वयं-मदत गट समर्थन करतात,वित्त के माध्यम से महिलाओं को सशक्त बनाना,फायनान्सद्वारे महिलांना सक्षम बनविणे,SHGs में महिलाएं,एसएचजी मध्ये महिला,"माइक्रोक्रिट, प्रशिक्षण, बाजार संबंध","मायक्रोक्रेडिट, प्रशिक्षण, बाजार दुवा",एसएचजी महासंघ के माध्यम से आवेदन,एसएचजी फेडरेशन मार्गे अर्ज,ब्याज दर 6% पी.ए.,व्याज दर 6% पी.ए.,2 साल,2 वर्षे
Smart Card for Unorganized Workers,Government,18-65,All,All,All,Bihar,Coverage for unorganized workers,Unorganized workers in informal sector,"Health insurance, pension, skill development",Online or local office registration,https://labour.gov.in/smartcard,Interest rate 6-8%,Lifetime,,,असंगठित श्रमिकों के लिए स्मार्ट कार्ड,असंघटित कामगारांसाठी स्मार्ट कार्ड,असंगठित श्रमिकों के लिए कवरेज,असंघटित कामगारांसाठी कव्हरेज,अनौपचारिक क्षेत्र में असंगठित श्रमिक,अनौपचारिक क्षेत्रातील असंघटित कामगार,"स्वास्थ्य बीमा, पेंशन, कौशल विकास","आरोग्य विमा, पेन्शन, कौशल्य विकास",ऑनलाइन या स्थानीय कार्यालय पंजीकरण,ऑनलाइन किंवा स्थानिक कार्यालय नोंदणी,ब्याज दर 5-8%,व्याज दर 9-13%,जीवनभर,आजीवन
Aadhaar Enabled Payment System (AEPS),Private,18-60,All,All,All,All,Facilitate banking for all,Bank account holder with Aadhaar linked,"Cash withdrawal, deposits, fund transfers",Bank registration with Aadhaar,https://aadharcard.gov.in/aeps,Interest rate 10-15%,,,,Aadhaar Enabled Payment System (AEPS),बेस सक्षम पेमेंट सिस्टम (अ‍ॅप्स),सभी के लिए बैंकिंग की सुविधा,सर्वांसाठी बँकिंग सुलभ करा,आधार के साथ बैंक खाता धारक जुड़ा हुआ है,आधारसह बँक खाते धारक दुवा साधला,"नकद निकासी, जमा, धन हस्तांतरण","रोख पैसे काढणे, ठेव, निधी हस्तांतरण",आधार के साथ बैंक पंजीकरण,आधार सह बँक नोंदणी,ब्याज दर 10-15%,व्याज दर 8-12%,,
National Digital Literacy Mission,Government,15-35,All,All,All,All,Promoting digital literacy,Students and youth,"Digital skills training, certification",Online registration,https://digitalliteracy.gov.in,Interest rate 6-8%,,,,राष्ट्रीय डिजिटल साक्षरता मिशन,राष्ट्रीय डिजिटल साक्षरता मिशन,डिजिटल साक्षरता को बढ़ावा देना,डिजिटल साक्षरतेचा प्रचार,छात्र और युवा,विद्यार्थी आणि तरुण,"अंकीय कौशल प्रशिक्षण, प्रमाणन","डिजिटल कौशल्य प्रशिक्षण, प्रमाणपत्र",ऑनलाइन पंजीकरण,ऑनलाइन नोंदणी,ब्याज दर 10-15%,व्याज दर 8-12%,,
Mudra Loan Yojana,Government,18-65,All,All,Below Poverty Line,All,Microfinance for small businesses,"Small business owners, startups","Loan up to 10 lakh INR, easy documentation",Apply at bank branches or online,https://mudra.org.in,Interest rate 9% p.a.,5 years,,Monthly,Mudra Loan Yojana,चलन कर्ज योजना,छोटे व्यवसायों के लिए microfinance,छोट्या व्यवसायांसाठी मायक्रोफायनान्स,"छोटे व्यवसाय के मालिक, स्टार्टअप","लहान व्यवसाय मालक, स्टार्टअप्स","10 लाख तक का ऋण, आसान प्रलेखन","10 लाख पर्यंत कर्ज, सुलभ कागदपत्रे",बैंक शाखाओं या ऑनलाइन पर आवेदन करें,बँक शाखांमध्ये किंवा ऑनलाइन अर्ज करा,ब्याज दर 9% पी.ए.,व्याज दर 9% पी.ए.,5 साल,5 वर्षे
StartUp India Stand Up Scheme,Government,19-45,All,All,Middle,All,Supporting startups and entrepreneurs,"New business registration, innovative idea","Seed funding, mentorship",Online application and pitch,https://startup.gov.in,Annual return 5-7%,2 years,,,स्टार्टअप इंडिया स्टैंड अप स्कीम,स्टार्टअप इंडिया स्टँड अप योजना,स्टार्टअप और उद्यमियों का समर्थन करना,स्टार्टअप्स आणि उद्योजकांना समर्थन,"नया व्यवसाय पंजीकरण, अभिनव विचार","नवीन व्यवसाय नोंदणी, नाविन्यपूर्ण कल्पना","बीज वित्त पोषण, संरक्षक","बियाणे निधी, मार्गदर्शक",ऑनलाइन आवेदन और पिच,ऑनलाइन अनुप्रयोग आणि खेळपट्टी,ब्याज दर 5-8%,व्याज दर 6-8%,2 साल,2 वर्षे
Smart Rural Credit Scheme,Private,19-60,All,All,Middle,Rural,Affordable rural credit,Rural residents with income proof,"Low interest loans, flexible repayment",Application through approved rural banks,https://ruralcredit.org/smart,Interest rate 8% p.a.,3 years,,Monthly,स्मार्ट ग्रामीण ऋण योजना,स्मार्ट ग्रामीण पत योजना,सस्ती ग्रामीण ऋण,परवडणारी ग्रामीण पत,आय प्रमाण के साथ ग्रामीण निवासी,उत्पन्नाचा पुरावा असलेले ग्रामीण रहिवासी,"कम ब्याज ऋण, लचीला चुकौती","कमी व्याज कर्ज, लवचिक परतफेड",अनुमोदित ग्रामीण बैंकों के माध्यम से आवेदन,मंजूर ग्रामीण बँकांद्वारे अर्ज,ब्याज दर 8% पी.ए.,व्याज दर 8% पी.ए.,3 वर्ष,3 वर्षे
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,Central India,Banking access for the unbanked,Open to all residents of India,"Zero balance accounts, Insurance cover",Visit nearest bank branch or online registration,https://pmjdy.gov.in/,Interest rate 5-8%,Lifetime,,,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,अनबंक के लिए बैंकिंग पहुंच,बँकेच्या प्रवेशासाठी बँकिंग प्रवेश,भारत के सभी निवासियों के लिए खुला,भारताच्या सर्व रहिवाशांसाठी खुला,"शून्य शेष खाते, बीमा कवर","शून्य शिल्लक खाती, विमा कव्हर",निकटतम बैंक शाखा या ऑनलाइन पंजीकरण पर जाएँ,जवळची बँक शाखा किंवा ऑनलाइन नोंदणीला भेट द्या,वार्षिक रिटर्न 5-7%,व्याज दर 6-8%,जीवनभर,आजीवन
Ayushman Bharat Health Scheme,Government,All,All,All,Below Poverty Line,Chhattisgarh,Health insurance for low-income families,"BPL families, Senior citizens, Pregnant women",Health coverage up to INR 5 lakh per family,Online portal or government health centers,https://ab-hf.in/,Interest rate 8-12%,,,,Ayushman Bharat Health Scheme,आयुषमान भारत आरोग्य योजना,कम आय वाले परिवारों के लिए स्वास्थ्य बीमा,कमी उत्पन्न असलेल्या कुटुंबांसाठी आरोग्य विमा,"बीपीएल परिवार, वरिष्ठ नागरिक, गर्भवती महिलाएं","बीपीएल कुटुंबे, ज्येष्ठ नागरिक, गर्भवती महिला",स्वास्थ्य कवरेज INR 5 लाख प्रति परिवार तक,प्रति कुटुंब 5 लाख पर्यंत आरोग्य कव्हरेज,ऑनलाइन पोर्टल या सरकारी स्वास्थ्य केंद्र,ऑनलाइन पोर्टल किंवा सरकारी आरोग्य केंद्रे,वार्षिक रिटर्न 5-7%,व्याज दर 9-13%,,
Pradhan Mantri Mudra Yojana,Government,19-60,All,All,Below Poverty Line,Goa,Microcredit for small businesses,"Small business owners, Entrepreneurs",Collateral-free loans up to INR 10 lakh,Apply through bank or microfinance institutions,https://mudra.org.in/,Interest rate 8-12%,,Depends on loan amount and tenure,Monthly/Quarterly,Pradhan Mantri Mudra Yojana,पंतप्रधान मनी योजना,छोटे व्यवसायों के लिए microcredit,छोट्या व्यवसायांसाठी मायक्रोक्रेडिट,"छोटे व्यवसाय के मालिक, उद्यमी","लहान व्यवसाय मालक, उद्योजक",INR 10 लाख तक संपार्श्विक-मुक्त ऋण,10 लाख पर्यंत संपार्श्विक-मुक्त कर्ज,बैंक या माइक्रोफाइनेंस संस्थानों के माध्यम से आवेदन करें,बँक किंवा मायक्रोफायनान्स संस्थांद्वारे अर्ज करा,ब्याज दर 8-12%,व्याज दर 8-12%,,
LIC New India Assurance Pension Scheme,Private,60+,All,All,Middle,Karnataka,Pension for senior citizens,"Age above 60, resident of India","Monthly pension benefits, Medical assistance",Visit LIC branch or online portal,https://licindia.in/,Interest rate 7-9%,Lifetime,,Monthly,लाइसेंस नई भारत आश्वासन पेंशन योजना,लिक न्यू इंडिया अ‍ॅश्युरन्स पेन्शन योजना,वरिष्ठ नागरिकों के लिए पेंशन,ज्येष्ठ नागरिकांसाठी पेन्शन,"60 से ऊपर आयु, भारत का निवासी","वय 60 पेक्षा जास्त, भारताचा रहिवासी","मासिक पेंशन लाभ, चिकित्सा सहायता","मासिक पेन्शन लाभ, वैद्यकीय सहाय्य",LIC शाखा या ऑनलाइन पोर्टल पर जाएँ,एलआयसी शाखा किंवा ऑनलाइन पोर्टलला भेट द्या,ब्याज दर 7-9%,व्याज दर 7-9%,जीवनभर,आजीवन
National Savings Certificate,Government,All,All,All,All,Rajasthan,Savings and investment,Open to all Indian residents,"Interest income, Tax benefits",Visit post office or bank,https://nsiindia.gov.in/,Interest rate 6-7% per annum,5-15 years,Minimum INR 1000,One-time,राष्ट्रीय बचत प्रमाणपत्र,राष्ट्रीय बचत प्रमाणपत्र,बचत और निवेश,बचत आणि गुंतवणूक,सभी भारतीय निवासियों के लिए खुला,सर्व भारतीय रहिवाशांसाठी खुले,"ब्याज आय, कर लाभ","व्याज उत्पन्न, कर लाभ",डाकघर या बैंक पर जाएँ,पोस्ट ऑफिस किंवा बँकेला भेट द्या,ब्याज दर 6-7% प्रति वर्ष,व्याज दर दरवर्षी 6-7%,5-15 साल,5-15 वर्षे
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,Bihar,Girl child savings scheme,Parents/Guardians of girl children,"Interest income, Tax benefits, Maturity amount in INR",Online or post office application,https://sukanyayojana.com/,Interest rate 7-8% per annum,21 years or after girl turns 21,Minimum INR 250 per year,Monthly/Quarterly/Annually,Sukanya Samriddhi Yojana,सुकन्या साम्रिधी योजना,बालिका बचत योजना,मुलगी बाल बचत योजना,माता -पिता/लड़की बच्चों के संरक्षक,पालक/मुलींचे पालक/पालक,"ब्याज आय, कर लाभ, INR में परिपक्वता राशि","व्याज उत्पन्न, कर लाभ, आयएनआर मधील परिपक्वता रक्कम",ऑनलाइन या डाकघर आवेदन,ऑनलाईन किंवा पोस्ट ऑफिस अर्ज,ब्याज दर 7-8% प्रति वर्ष,वर्षाकाठी व्याज दर 7-8%,21 साल या लड़की के बाद 21 साल की हो गई,21 वर्षे किंवा मुलगी 21 वर्षांची झाली
Rural Electrification Scheme,Government,All,All,All,All,Maharashtra,Electrification of rural areas,Rural households,"Electricity connection, Subsidies",Apply through local government offices,https://rural.gov.in/,Annual return 4-6%,Ongoing,,,ग्रामीण विद्युतीकरण योजना,ग्रामीण विद्युतीकरण योजना,ग्रामीण क्षेत्रों का विद्युतीकरण,ग्रामीण भागातील विद्युतीकरण,ग्रामीण -घर,ग्रामीण घरे,"बिजली संबंध, सब्सिडी","वीज कनेक्शन, अनुदान",स्थानीय सरकारी कार्यालयों के माध्यम से आवेदन करें,स्थानिक सरकारी कार्यालयांद्वारे अर्ज करा,ब्याज दर 8-12%,व्याज दर 8-12%,चल रहे,चालू आहे
Startup India Scheme,Government,19-35,All,All,All,Uttar Pradesh,Encourage startup growth,"Innovators, Entrepreneurs, Startups","Funding, Mentorship, Incubation",Apply online on Startup India portal,https://startupindia.gov.in/,Annual return 4-6%,,,,स्टार्टअप भारत योजना,स्टार्टअप इंडिया योजना,स्टार्टअप विकास को प्रोत्साहित करें,स्टार्टअप वाढीस प्रोत्साहित करा,"इनोवेटर्स, एंटरप्रेन्योर, स्टार्टअप्स","शोधक, उद्योजक, स्टार्टअप्स","फंडिंग, मेंटरशिप, इनक्यूबेशन","निधी, मार्गदर्शन, उष्मायन",स्टार्टअप इंडिया पोर्टल पर ऑनलाइन आवेदन करें,स्टार्टअप इंडिया पोर्टलवर ऑनलाईन अर्ज करा,ब्याज दर 8-12%,व्याज दर 10-15%,,
Microfinance for Women,Private,19-60,Female,OBC,Below Poverty Line,North-East,Financial empowerment for women,"Women entrepreneurs, self-help groups","Microloans, Financial literacy",Apply through microfinance institutions,https://microfinance.org.in/,Interest rate 12-15%,,Depends on loan terms,Monthly,महिलाओं के लिए माइक्रोफाइनेंस,महिलांसाठी मायक्रोफायनान्स,महिलाओं के लिए वित्तीय सशक्तीकरण,महिलांसाठी आर्थिक सशक्तीकरण,"महिला उद्यमी, स्व-सहायता समूह","महिला उद्योजक, स्वत: ची मदत गट","माइक्रोलोन, वित्तीय साक्षरता","मायक्रोलोन्स, आर्थिक साक्षरता",माइक्रोफाइनेंस संस्थानों के माध्यम से लागू करें,मायक्रोफायनान्स संस्थांद्वारे अर्ज करा,ब्याज दर 12-15%,व्याज दर 12-15%,,
National Rural Livelihood Mission,Government,All,All,All,Below Poverty Line,Bihar,Enhance livelihoods in rural areas,"Rural households, Self-help groups","Skill development, Microcredit, Market linkage",Through local government offices,https://aajeevika.gov.in/,Annual return 4-6%,Ongoing,,,राष्ट्रीय ग्रामीण आजीविका मिशन,राष्ट्रीय ग्रामीण उदरनिर्वाह मिशन,ग्रामीण क्षेत्रों में आजीविका बढ़ाएं,ग्रामीण भागात रोजीरोटी वाढवा,"ग्रामीण परिवार, स्व-सहायता समूह","ग्रामीण घरे, स्वत: ची मदत गट","कौशल विकास, माइक्रोक्रेडिट, मार्केट लिंकेज","कौशल्य विकास, मायक्रोक्रेडिट, मार्केट लिंकेज",स्थानीय सरकारी कार्यालयों के माध्यम से,स्थानिक सरकारी कार्यालयांद्वारे,ब्याज दर 8-12%,व्याज दर 7-10%,चल रहे,चालू आहे
NPS - National Pension System,Private,18-60,All,All,All,Goa,Retirement savings,Open to all Indian residents,"Pension benefits, Market-linked returns",Register online or through authorized agents,https://npsindia.gov.in/,Annual return 5-7%,Lifetime,,Monthly/Quarterly/Annually,एनपीएस - राष्ट्रीय पेंशन प्रणाली,एनपीएस - राष्ट्रीय पेन्शन प्रणाली,सेवानिवृत्ति बचत,सेवानिवृत्तीची बचत,सभी भारतीय निवासियों के लिए खुला,सर्व भारतीय रहिवाशांसाठी खुले,"पेंशन लाभ, बाजार से जुड़े रिटर्न","निवृत्तीवेतन लाभ, बाजार-संबंधित परतावा",ऑनलाइन या अधिकृत एजेंटों के माध्यम से पंजीकरण करें,ऑनलाइन किंवा अधिकृत एजंट्सद्वारे नोंदणी करा,वार्षिक रिटर्न 4-6%,वार्षिक परतावा 6-9%,जीवनभर,आजीवन
Solar Loan Scheme,Private,18-60,All,All,Middle,Tamil Nadu,Promote solar energy adoption,"Property owners, businesses","Loan for solar installations, Subsidies possible",Apply through financial institutions,https://solarloan.gov.in/,Interest rate 6-8%,,Depends on loan agreement,Monthly/Quarterly,सौर ऋण योजना,सौर कर्ज योजना,सौर ऊर्जा अपनाने को बढ़ावा देना,सौर उर्जा दत्तक घेण्यास प्रोत्साहित करा,"संपत्ति के मालिक, व्यवसाय","मालमत्ता मालक, व्यवसाय","सौर प्रतिष्ठानों के लिए ऋण, संभव सब्सिडी","सौर प्रतिष्ठापनांसाठी कर्ज, अनुदान शक्य आहे",वित्तीय संस्थानों के माध्यम से आवेदन करें,वित्तीय संस्थांद्वारे अर्ज करा,वार्षिक रिटर्न 5-7%,वार्षिक परतावा 4-6%,,
Skill Development Initiative,Government,19-35,All,All,Middle,Gujarat,Enhance employability skills,"Job seekers, Students","Training programs, Certification",Apply via online portals or local centers,https://skillindia.gov.in/,Annual return 4-6%,Varies,,,कौशल विकास पहल,कौशल्य विकास उपक्रम,रोजगार कौशल बढ़ाएं,रोजगाराची कौशल्ये वाढवा,"नौकरी चाहने वाले, छात्र","नोकरी शोधणारे, विद्यार्थी","प्रशिक्षण कार्यक्रम, प्रमाणन","प्रशिक्षण कार्यक्रम, प्रमाणपत्र",ऑनलाइन पोर्टल या स्थानीय केंद्रों के माध्यम से आवेदन करें,ऑनलाइन पोर्टल किंवा स्थानिक केंद्रांद्वारे अर्ज करा,ब्याज दर 5-8%,व्याज दर 9-13%,भिन्न,बदलते
Self-Help Group Bank Linkage Program,Government,All,All,OBC,Below Poverty Line,Tamil Nadu,Financial inclusion for SHGs,Registered Self-Help Groups,"Loans, Savings accounts, Financial literacy",Apply through banks or cooperative societies,https://shgbanklinkage.gov.in/,Interest rate 6-8%,Ongoing,,,स्व-सहायता समूह बैंक लिंकेज कार्यक्रम,सेल्फ-हेल्प ग्रुप बँक लिंकेज प्रोग्राम,SHG के लिए वित्तीय समावेश,एसएचजीसाठी आर्थिक समावेश,पंजीकृत स्व-सहायता समूह,नोंदणीकृत स्वयं-मदत गट,"ऋण, बचत खाते, वित्तीय साक्षरता","कर्ज, बचत खाती, आर्थिक साक्षरता",बैंकों या सहकारी समितियों के माध्यम से आवेदन करें,बँका किंवा सहकारी संस्थांद्वारे अर्ज करा,ब्याज दर 10-15%,व्याज दर 6-8%,चल रहे,चालू आहे
Digital India Programme,Government,All,All,All,All,Jharkhand,Digital literacy and connectivity,"All residents, institutions","Internet access, Digital services",Participate via government initiatives or online platforms,https://digitalindia.gov.in/,Interest rate 5-8%,Ongoing,,,अंकीय भारतीय कार्यक्रम,डिजिटल इंडिया प्रोग्राम,डिजिटल साक्षरता और कनेक्टिविटी,डिजिटल साक्षरता आणि कनेक्टिव्हिटी,"सभी निवासी, संस्थान","सर्व रहिवासी, संस्था","इंटरनेट एक्सेस, डिजिटल सर्विसेज","इंटरनेट प्रवेश, डिजिटल सेवा",सरकारी पहल या ऑनलाइन प्लेटफार्मों के माध्यम से भाग लें,सरकारी पुढाकार किंवा ऑनलाइन प्लॅटफॉर्मद्वारे भाग घ्या,ब्याज दर 7-10%,व्याज दर 5-8%,चल रहे,चालू आहे
Pradhan Mantri Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,Haryana,Bank Account Accessibility and Financial Inclusion,Open to all citizens of India,"Zero balance accounts, RuPay debit card, insurance cover",Online registration or visit nearest bank branch,https://pmjdy.gov.in/,Interest rate 8-12%,Lifetime,,,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,बैंक खाता पहुंच और वित्तीय समावेशन,बँक खात्यात प्रवेशयोग्यता आणि आर्थिक समावेश,भारत के सभी नागरिकों के लिए खुला,भारताच्या सर्व नागरिकांसाठी खुला,"शून्य बैलेंस अकाउंट्स, रूपे डेबिट कार्ड, इंश्योरेंस कवर","शून्य शिल्लक खाती, रुपय डेबिट कार्ड, विमा कव्हर",ऑनलाइन पंजीकरण या निकटतम बैंक शाखा पर जाएँ,ऑनलाइन नोंदणी किंवा जवळच्या बँक शाखेत भेट द्या,वार्षिक रिटर्न 5-7%,व्याज दर 5-8%,जीवनभर,आजीवन
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,Bihar,"Child Education & Marriage Fund, Savings","Girl child below age 10, parents' income must be below specified limit","Interest accrues tax-free, maturity benefits for girl child's education and marriage",Online or at designated bank branches,https://sukanyasampada.gov.in/,Interest rate 7.6% p.a.,21 years or until girl turns 21,Minimum Rs. 250 per month,Monthly,Sukanya Samriddhi Yojana,सुकन्या साम्रिधी योजना,"बाल शिक्षा और विवाह निधि, बचत","बाल शिक्षण आणि विवाह निधी, बचत","10 वर्ष से कम उम्र की लड़की, माता -पिता की आय निर्दिष्ट सीमा से नीचे होनी चाहिए","10 वर्षांपेक्षा कमी वयाच्या मुली, पालकांचे उत्पन्न निर्दिष्ट मर्यादेपेक्षा कमी असणे आवश्यक आहे","रुचि बालिका की शिक्षा और विवाह के लिए कर-मुक्त, परिपक्वता लाभ प्राप्त करती है","व्याजमुळे करमुक्त, मुलीच्या मुलाच्या शिक्षण आणि लग्नासाठी परिपक्वता लाभ",ऑनलाइन या निर्दिष्ट बैंक शाखाओं में,ऑनलाईन किंवा नियुक्त बँक शाखांमध्ये,ब्याज दर 7.6% पी.ए.,व्याज दर 7.6% पी.ए.,21 साल या जब तक लड़की 21 साल की हो जाती है,21 वर्षे किंवा मुलगी 21 वर्षांचा होईपर्यंत
MUDRA Yojana,Government,19-60,All,All,Below Poverty Line,Rural & Urban India,Microcredit for small businesses and entrepreneurs,"Micro, Small & Medium Enterprises (MSME) borrowers","Refinance, collateral-free loans up to Rs. 10 lakh",Online application via bank or Microfinance Institution,https://mudra.org.in/,"Interest rate varies, typically 10-12%",Up to 5 years,Varies based on loan amount,Monthly or Quarterly,MUDRA Yojana,पैसा योजना,छोटे व्यवसायों और उद्यमियों के लिए microcredit,लहान व्यवसाय आणि उद्योजकांसाठी मायक्रोक्रेडिट,"सूक्ष्म, छोटे और मध्यम उद्यम (MSME) उधारकर्ता","मायक्रो, लघु आणि मध्यम उपक्रम (एमएसएमई) कर्जदार","पुनर्वित्त, संपार्श्विक-मुक्त ऋण तक रुपये तक।10 लाख","पुनर्वित्त, संपार्श्विक-मुक्त कर्ज रु.10 लाख",बैंक या माइक्रोफाइनेंस इंस्टीट्यूशन के माध्यम से ऑनलाइन आवेदन,बँक किंवा मायक्रोफायनान्स संस्था मार्गे ऑनलाईन अर्ज,"ब्याज दर भिन्न होती है, आमतौर पर 10-12%","व्याज दर बदलतो, सामान्यत: 10-12%",5 साल तक,5 वर्षांपर्यंत
