scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval
SBI Youth Microfinance,Private,18-35,All,OBC,Below Poverty Line,All India,Microfinance for youth entrepreneurs,Youth with small business idea or micro enterprise,"Affordable loans, mentorship support",Apply online or via branch with business plan,https://sbi.co.in/,Interest 10-14%,1-3 years,Interest + principal,Monthly
Rural Self-Employment Training Institute (RSETI),Government,18-50,All,All,Below Poverty Line,Rural Areas,Skill development for rural youth,"Rural youth aged 18-50, unemployed or underemployed","Skill training, soft loans for self-employment",Apply through local RSETI centers,https://rseti.gov.in/,N/A,Varies with training course,N/A,N/A
Pradhan Mantri Awas Yojana (Urban),Government,All,All,All,Middle,Urban Areas,Affordable housing for urban poor,"EWS and LIG families, income criteria apply","Housing subsidy, Interest subsidy on loans",Register online or at municipal offices,https://urbanhousing.gov.in/,N/A,Up to 20 years,N/A,N/A
SME Credit Guarantee Scheme,Private,25-60,All,All,Upper,All India,Credit guarantee for small and medium enterprises,SME owners with proven creditworthiness,"Loan guarantee cover, Easier access to credit",Apply through banks and financial institutions,https://sme.gov.in/,N/A,N/A,N/A,N/A
Rural Electrification Scheme,Government,All,All,All,All,Rural India,Electrification of rural households and businesses,Rural households and businesses,"Electricity connection, Infrastructure development",Application through local government offices,https://ruralindia.gov.in/,N/A,Ongoing,N/A,N/A
Digital India Microfinance Initiative,Government,18-40,All,All,Middle,All India,Promote digital financial services among youth,"Young adults, entrepreneurs","Access to digital banking, training on digital payments",Online registration and verification,https://digitalindia.gov.in/,N/A,N/A,N/A,N/A
OBC Microfinance Program,Private,18-50,All,OBC,Below Poverty Line,Urban and Rural,Microfinance for OBC communities,"OBC community members, small entrepreneurs","Loans for business, education, health",Apply through OBC community centers or banks,https://obc.gov.in/,Interest 10-13%,1-3 years,Interest + principal,Monthly
National Rural Livelihood Mission,Government,18-50,All,All,Below Poverty Line,Rural India,Self-employment and livelihood support,"BPL households, women in rural areas","Microcredit, training, support groups",Application through local government and SHGs,https://nrlm.gov.in/,N/A,Ongoing,N/A,N/A
Fintech Access Initiative,Private,18-35,All,All,Middle,All India,Expand access to digital financial services through fintech platforms,"Young adults, tech entrepreneurs","Digital payments, financial literacy",Online application and partnership programs,https://fintech.gov.in/,N/A,N/A,N/A,N/A
Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,All India,Bank Account Inclusion,All Indian residents aged 18+,"Zero balance accounts, Insurance, Direct benefit transfers",Visit nearby bank branch or digital portal,https://financialservices.gov.in/jandhan,N/A,N/A,N/A,N/A
Pradhan Mantri Suraksha Bima Yojana,Government,19-60,All,All,Middle,All India,Life Insurance Coverage,Bank account holder aged 18-70,"Rs.2 lakh accidental death cover, Rs.1 lakh disability cover","Link with bank account, online or via branch",https://financialservices.gov.in/suraksha,Rs.2 lakh,1 year,Rs.12 per annum,Annually
Atal Pension Yojana,Government,19-60,All,All,Below Poverty Line,All India,Pension for unorganized sector workers,Bank account holder aged 18-40,"Monthly pension after 60, life cover",Register at bank or online portal,https://pensionind ia.gov.in,"Varies with contribution, up to Rs.5,000/month",Lifetime,Variable,Monthly
PM Jan Aushadhi Kendras,Government,All,All,All,All,Rural and Urban India,Affordable medicines,All citizens,Access to generic medicines at low prices,Apply through government portal or local health center,https://janaushadhi.gov.in,N/A,N/A,N/A,N/A
SBI Microloan Scheme,Private,19-60,All,OBC,Below Poverty Line,Rural India,Microcredit for small entrepreneurs,"Small business owner, rural resident",Low-interest microloans,Online application or visit local branch,https://sbi.co.in/web/personal-banking/loans/microloan,Interest rate 12-15%,1-3 years,Variable,Monthly or Quarterly
ICICI Bank Financial Literacy Program,Private,All,All,All,All,Urban and Rural India,Financial literacy and awareness,"All age groups, no prior eligibility","Workshops, training sessions, online resources",Register online or through partner institutions,https://icicibank.com/financial-literacy,N/A,Ongoing,N/A,N/A
LIC Micro Insurance Plan,Private,All,All,All,Below Poverty Line,All India,Micro insurance coverage,All residents aged 18-65,"Affordable insurance plans, cash benefits",Apply online or through LIC agents,https://licindia.in,"Coverage varies, 50,000 INR min",N/A,Varies by plan,"One-time, Monthly, Quarterly"
Rural Electrification Loan Scheme,Government,All,All,All,All,Rural India,Electrification and energy access,Rural households and entrepreneurs,Low-interest loans for energy projects,Apply at rural bank branches or online,https://ruralenergy.gov.in,Interest rate 9-12%,5-10 years,Variable,Monthly or Quarterly
Mutual Fund SIP Program,Private,19-60,All,All,Middle,Urban India,Long-term wealth creation,KYC compliant investors aged 18+,"Systematic investment plans, tax benefits",KYC registration via online portal or branch,https://mfindia.in,Average 10-15% annual return,N/A,As per SIP plan,Monthly
Skill Development Loan Scheme,Government,19-35,All,OBC,Middle,All India,Skill enhancement and employment,Bankable individuals aged 18-35,Low-interest loans for skill courses,Apply through designated banks or online,https://skills.gov.in,Interest rate 8-10%,1-5 years,Variable,Monthly or Quarterly
Women Entrepreneurs Support Scheme,Government,19-45,Female,All,Upper,Urban and Rural India,Support women-led businesses,Women entrepreneurs with business plan,"Seed funding, mentorship, training",Application via government portal or local office,https://womenentrepreneurs.gov.in,N/A,Ongoing,N/A,N/A
Digital Payment Adoption Scheme,Government,All,All,All,All,All India,Promote digital transactions,All citizens with bank accounts,"Cashback offers, ease of digital payments",Enroll through bank or digital portal,https://digitalindia.gov.in,N/A,Ongoing,N/A,N/A
Start-Up India Funding Support,Government,19-40,All,All,All,All India,Support startup ventures,Startup registration and business plan,"Seed funding, mentorship, incubation",Apply via startup portal or partner banks,https://startuindia.gov.in,N/A,Ongoing,N/A,N/A
Vikaspedia Financial Literacy Campaign,Government,All,All,All,All,All India,Financial literacy awareness,All citizens,"Educational resources, awareness sessions","Access online resources, participate in workshops",https://vikaspedia.in,N/A,Ongoing,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,India,Financial Inclusion and Banking Access,Open to all citizens of India with valid documents,"Free basic banking accounts, overdraft facilities",Visit a bank branch or apply online with ID proof,https://pmjdy.gov.in/,N/A,N/A,N/A,N/A
Microcredit for Women,Private,19-60,Female,OBC,Below Poverty Line,Rural Areas,Microcredit for Entrepreneurship,"Women aged 19-60 from OBC communities, with a viable business plan","Loan facility with low interest, business training support",Online application via partner NGO or bank,https://microcreditwomen.org/,Interest rate 12-15%,5 years,"Up to 50,000 INR",Monthly
Senior Citizens Pension Scheme,Government,60+,All,All,Middle,All India,Pension Support,Citizens aged 60+ with income below specified threshold,"Monthly pension, health checkups",Apply at local government offices or online,https://seniorspension.gov.in/,N/A,Lifetime,2000 INR/month,Monthly
Skill Development Loan Scheme,Private,19-35,All,All,Middle,Urban and Rural,Skill Development and Education Financing,Individuals aged 19-35 pursuing vocational courses,"Loan at low interest, free training resources",Online application and interview at partner banks,https://skillloan.org/,Interest rate 10-14%,3 years,"Up to 1,00,000 INR",Monthly
Rural Housing Scheme,Government,All,All,All,Below Poverty Line,Rural Areas,Affordable Housing,"Rural households below poverty line, land ownership proof","Interest subsidy, low-cost housing loans",Apply through local Panchayat or online,https://ruralhousing.gov.in/,N/A,15-20 years,Depends on loan amount,Monthly
Educational Savings Plan,Private,0-18,All,All,All,Urban and Rural,Educational Savings and Planning,Parents or guardians of children aged 0-18,"Tax benefits, higher interest rates, education grants",Open an account at partner banks or financial institutions,https://educationsavings.com/,Interest rate 6-8% plus grants,Lifetime or until child completes education,"Variable, starting from 500 INR/month",Monthly
Health Insurance for Poor Families,Government,All,All,SC,Below Poverty Line,All India,Health Coverage,"Families below poverty line, identified through local authorities","Free or subsidized health insurance, hospital coverage",Application through local health offices or online,https://healthcover.gov.in/,N/A,1 year renewable,N/A,N/A
Startup India Fund,Government,19-35,All,All,Middle,Urban,Support for Startups and Innovation,"Registered startups, innovative ideas","Funding grants, mentorship, incubation support",Online application through Startup India portal,https://startupindia.gov.in/,N/A,N/A,N/A,N/A
Women Self-Help Groups Fund,Government,All,Female,OBC,Middle,Rural and Urban,Empowerment and Microfinance for Women,"Women forming Self-Help Groups, with approved proposals","Microfinance loans, training, marketing support",Application through local government offices or online,https://wshgfund.gov.in/,Interest rate 8-12%,3-5 years,"Up to 1,00,000 INR per member",Monthly
Agricultural Income Support Scheme,Government,All,All,All,Below Poverty Line,Rural,Income Support for Farmers,"Small and marginal farmers, land ownership proof","Direct income transfers, crop insurance",Register with local agriculture offices or online,https://agriincome.gov.in/,N/A,N/A,"Variable, depending on farm size",N/A
Financial Literacy Campaigns,Government,All,All,All,All,All India,Financial Literacy and Awareness,Open to all citizens,"Workshops, seminars, educational materials",Participate through local government or NGOs,https://finlit.gov.in/,N/A,Ongoing,N/A,N/A
Digital Payment Incentive,Private,19-60,All,All,All,Urban and Rural,Promote Digital Transactions,All citizens using digital payment platforms,"Cashback, discounts, reward points",Register on digital payment platforms or app,https://digitalpayments.incentives/,N/A,N/A,N/A,N/A
Micro Insurance Schemes,Private,All,All,All,Below Poverty Line,All India,Affordable Insurance Cover,"Low-income families, individuals without existing insurance","Low premium insurance plans, quick claim process",Apply via authorized insurance agents or online,https://microinsurance.in/,N/A,1 year to lifetime,"Variable, depending on coverage",Monthly or Annual
Pradhan Mantri Awas Yojana,Government,19-35,All,All,Below Poverty Line,All India,Housing for All,Low income households,"Subsidized home loans, affordable housing units",Apply online or through local authorities with proof of income,https://pmay.gov.in,N/A,Lifetime,N/A,N/A
Mahatma Gandhi National Rural Employment Guarantee Act,Government,18-60,All,All,Below Poverty Line,Rural Areas,Employment Generation,All rural household members,Guaranteed 100 days of wage employment annually,Apply through local Panchayats or online portal,https://nrega.nic.in,N/A,N/A,N/A,N/A
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,All India,Child Girl Education and Marriage Savings,Parent or guardian of a girl child,"Interest accrual, tax benefits, maturity benefits",Open an account at designated bank branches or post offices,https://sukanyasamriddhi.nic.in,Interest rate 7.6% per annum,21 years or upon marriage of girl,Minimum INR 250 per year,Monthly/Quarterly/Annually
Mudra Yojana,Government,19-60,All,All,Below Poverty Line,All India,Microcredit for Small Businesses,"Micro, small, and medium enterprises, entrepreneurs",Collateral-free loans up to INR 10 lakhs,Apply through bank or NBFC branches with business plan,https://mudra.org.in,Interest rate 8-12%,Up to 5 years,Dependent on loan amount and interest rate,Monthly/Quarterly
National Pension System,Government,18-60,All,All,Middle,All India,Retirement Savings,All residents of India aged 18-60,"Tax benefits, pension post-retirement",Register online or at any authorized bank branch,https://npscra.nsdl.co.in,"Variable, depends on market performance",Lifetime until retirement,"As per subscriber choice, minimum INR 500 per month",Monthly
LIC New Bima Yojana,Private,19-50,All,All,Middle,All India,Life Insurance,All individuals aged 19-50,"Life cover, maturity benefits, loan facilities",Apply online or at LIC branches with KYC documents,https://licindia.in,Interest rate 5-7% (depends on plan),10-25 years,"Dependent on plan, minimum INR 3000",Monthly/Quarterly/Annual
ICICI Bank Financial Literacy Program,Private,19-60,All,All,All,Urban and Rural,Financial Education,Open to all account holders and non-account holders,"Financial awareness, literacy workshops, online resources",Register online or at ICICI bank branches,https://icicibank.com,N/A,Ongoing,N/A,N/A
Vijaya Finance Small Business Loan,Private,21-55,All,OBC,Middle,Urban areas,Microcredit for Small Entrepreneurs,Small business owners with valid business registration,"Collateral-free loans, flexible repayment",Apply at Vijaya Finance branches with business documentation,https://vijayafinance.com,Interest rate 10-15%,3-5 years,Based on loan and interest rate,Monthly
Reliance Microfinance Initiative,Private,18-60,All,Minority,Below Poverty Line,Urban and Rural,Microfinancing,Low-income individuals needing credit for small projects,"Access to micro loans, financial support",Application through local microfinance agents,https://reliancemicrofinance.com,Interest rate 12-20%,1-3 years,Dependent on loan terms,Monthly
HDFC Bank Financial Inclusion Program,Private,19-60,All,All,Middle,Urban and Semi-Urban,Banking Access for All,Unbanked individuals seeking banking services,"Basic banking facilities, savings accounts",Open account via branch or online,https://hdfcbank.com,N/A,Ongoing,N/A,N/A
State Bank of India Yuva Fund,Private,18-25,All,All,All,All India,Support for Young Entrepreneurs,Students and young professionals,"Seed funding, mentorship opportunities",Apply through official portal or bank branches,https://sbi.co.in,N/A,Up to 2 years,N/A,N/A
Rural Cooperative Bank Loan Scheme,Private,21-55,All,All,Middle,Rural Areas,Agricultural and Rural Development,"Farmers, rural entrepreneurs","Low-interest loans, grace periods",Apply at cooperative bank branches with land and income proofs,https://ruralbank.co.in,Interest rate 9-13%,1-10 years,Dependent on loan and repayment schedule,Monthly
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Banking and Financial Literacy,No minimum balance required,"Basic banking services, insurance cover",Visit a bank branch or request through authorized agents,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Atal Pension Yojana,Government,19-35,All,All,Middle,All India,Pension Security,"Age 18-40, Indian resident",Monthly pension after retirement,Online registration or through designated banks,https://www.atalpensionyojana.gov.in,N/A,Lifetime,"Variable, based on contributions",Monthly
Small Industries Development Bank Microfinance,Private,19-60,All,OBC,Below Poverty Line,Rural Areas,Microcredit for Small Businesses,"Micro-enterprises, micro-entrepreneurs","Low-interest microloans, financial training",Application through approved microfinance institutions,https://sidbi.in,Interest rate 12-15%,1-5 years,"Variable, based on loan amount",Monthly
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,All India,Child Girl Child Education & Security,Parent or guardian of a girl child,"Tax saving, compounded interest",Apply at bank or post office,https://sukanyasamriddhi.nic.in,Interest rate 7-8% (compounded annually),Until girl turns 21 or 18 for maturity,"Minimum Rs.250, maximum Rs.1.5 lakh annually",Monthly/Quarterly/Annually
Mahila Co-operative Bank Savings,Private,19-60,Female,All,Middle,Urban,Savings & Financial Empowerment for Women,Women residents of urban areas,"Higher interest rates, financial advisory",Visit a co-operative bank branch,https://mahilabank.com,Interest rate 6-9%,N/A,N/A,N/A
Rural Women Self-Help Groups Credit Scheme,Government,19-60,Female,OBC,Below Poverty Line,Rural,Microcredit and Women Empowerment,Registered self-help groups of women,"Microloans, skill development support",Application through local rural development offices,https://msme.gov.in,Interest rate 8-10%,1-3 years,Variable,Monthly
National Rural Livelihood Mission,Government,19-60,All,All,Below Poverty Line,Rural India,Poverty Alleviation & Livelihood,Rural households below poverty line,"Skill training, income generation support",Through local Rural Development offices,https://nrlm.gov.in,N/A,Ongoing,N/A,N/A
Private Health Insurance for Farmers,Private,36-60,All,General,Below Poverty Line,Rural India,Health Security,Farmers with valid land documents,"Affordable health coverage, cashless treatment",Online or through agent networks,https://privatehealth.in,N/A,1 year,Rs.500-2000 annually,Annually
Education Loan for Rural Students,Private,19-30,All,All,Below Poverty Line,Rural India,Higher Education Funding,Rural students pursuing higher studies,"Low-interest loans, extended repayment",Apply online or through designated banks,https://edu.loan.in,Interest rate 9-12%,5-10 years,"Variable, based on loan amount",Monthly/Quarterly
Microinsurance for Small Traders,Private,19-60,All,Minority,Middle,Urban,Insurance Coverage for Small Traders,Registered small traders,"Affordable insurance, risk coverage",Application through insurance agents or online,https://microinsure.in,N/A,1 year,Rs.1000-3000 annually,Annually
Skill Development Program for Youth,Government,19-35,All,All,Middle,All India,Skill Development and Employment,Youth seeking skill training,"Skill certification, employment opportunities",Apply online or through training centers,https://skilldev.gov.in,N/A,3-6 months,N/A,N/A
Urban Microfinance Initiative,Private,19-60,All,All,Middle,Urban,Microcredit for Urban Poor,Urban residents below poverty line,"Small loans, financial inclusion",Apply through partner microfinance institutions,https://urbanmicro.in,Interest rate 10-15%,1-3 years,Variable,Monthly
Senior Citizens Pension Scheme,Government,60+,All,All,All,All India,Retirement Income Support,Senior citizens of India,Monthly pension benefits,Register online or at government offices,https://seniorpension.gov.in,N/A,Lifetime,N/A,Monthly
Youth Investment Plan,Private,19-30,All,All,Middle,All India,Investment & Wealth Building,"Young investors, students","Investment options, wealth growth",Apply online or through financial advisors,https://youthinvest.in,Interest rate 7-10% or capital appreciation,5-10 years,Variable,Monthly/Quarterly
Pradhan Mantri Jan Dhan Yojana,Government,19-60,All,All,Below Poverty Line,India,"Bank Account Opening, Financial Inclusion",Open to all Indian residents aged 18+ with valid ID,"Zero balance accounts, overdraft facility, insurance coverage",Visit any authorized bank branch or digital platform to open account,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Stand Up India Scheme,Government,19-60,All,SC,Below Poverty Line,India,Microcredit for SC/ST Entrepreneurs,Entrepreneurs from SC/ST communities aged 18-65,"Collateral-free loans, interest subsidy, mentorship support",Online application through bank portal or local branch,https://sta.india.gov.in/,"Interest rates vary, typically 8-12%",5-7 years,"Varies, typically in installments",Quarterly
Mahatma Gandhi National Rural Employment Guarantee Act,Government,18-60,All,All,All,Rural,"Wage Employment, Rural Development",Residents of rural areas willing to do unskilled manual work,Guaranteed 100 days of wage employment per year,Registration at local Panchayat or online portal,https://nrega.nic.in/,"Wages based on minimum wage rates, approx. INR 300-350/day",Lifetime (renewable yearly),Wages as per government rates,Weekly or Monthly
PM SVANidhi Yojana,Government,19-60,All,All,Below Poverty Line,Urban,Street Vendor Credit Facility,Street vendors with valid ID and documentation of their business,"Working capital loans up to INR 10,000, cashback offers",Online registration or via bank branch,https://pmsvanidhi.mohua.gov.in/,Interest rates around 7%,1 year,"In installments, interest included",Monthly
Pradhan Mantri Awas Yojana,Government,18-60,All,OBC,Middle,All India,Affordable Housing,First-time homeowners with income criteria met,"Subsidized home loans, financial assistance for construction",Apply online or through local authorities,https://pmaymis.gov.in/,Interest rates around 6-8%,N/A,"Depends on loan, typically INR 5-20 lakhs",Monthly or quarterly
LIC's Micro Insurance Scheme,Private,19-50,All,All,All,Urban and Rural,Micro Insurance for Low-Income Groups,Individuals below poverty line or low-income earners,"Affordable insurance coverage, claims processing support",Visit authorized LIC agents or online portal,https://www.licindia.in/,N/A,N/A,"Premiums vary, generally INR 200-1000/year",Annually or Monthly
Bharat Interface for Money (BHIM) UPI Scheme,Private,15-60,All,All,All,India,Digital Payment Facilitation,"Smartphone with internet connection, active bank account","Easy digital transactions, cashback offers, secure payments","Download app, register with mobile number and bank details",https://www.bhimupi.org.in/,N/A,N/A,N/A,N/A
Shishu Loan Scheme,Private,0-18,All,All,Below Poverty Line,Rural and Urban,Microcredit for Children Education and Small Business,Children or guardians with valid ID and income proof,"Low-interest microloans, educational support",Application through bank or financial institution,https://microfinanceindia.org/,Interest around 12-15%,1-3 years,In installments as per agreement,Monthly or Quarterly
Swavalamban Pension Scheme,Government,18-60,All,All,Below Poverty Line,India,Pension for Unorganized Workers,Unorganized sector workers with low income,"Monthly pension, financial security in old age",Register through formal channels or online portal,https://financialservices.gov.in/,N/A,Lifetime,"Monthly contribution, depends on scheme option",Monthly
Talaash Microfinance,Private,18-60,All,Minority,Middle,All India,Microcredit for Minority Entrepreneurs,Microenterprise owners from minority communities,"Business loans, financial guidance, capacity building",Apply via partner microfinance institutions or online platform,https://talaashmicrofinance.in/,Interest rates around 15-20%,1-3 years,"In installments, interest included",Monthly
Kisan Credit Card Scheme,Government,19-60,All,All,All,Rural India,Crop Financing and Agriculture Credit,Farmers with landholding or active farming,"Credit at lower interest rates, flexible repayment",Application at local bank branch or online,https://pmkisan.gov.in/,Interest rates around 9-12%,5 years,In installments during the crop cycle,Monthly or quarterly
Dairy Entrepreneurship Development Scheme,Government,19-60,All,All,Middle,Rural,Dairy Farming Support and Subsidies,Individuals or groups interested in dairy farming,"Capital subsidy, technical support, training",Apply via cooperative or government portal,https://dairyindia.gov.in/,N/A,N/A,N/A,N/A
Startup India Seed Fund Scheme,Government,19-40,All,All,All,India,Supporting Startup Ecosystem,Registered startups with innovative ideas,"Seed funding, mentorship, incubation support",Online application through portal,https://startupindia.gov.in/,N/A,N/A,N/A,N/A
Pradhan Mantri Mudra Yojana,Government,19-60,All,All,Below Poverty Line,National,Microcredit,Small business owners and entrepreneurs,Access to microloans up to INR 10 lakhs,Online application with documentation of business plan,https://mudra.org.in,Interest rate 8-12% per annum,5 years,Up to INR 10 lakhs,Monthly
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,Urban and Rural,Housing for All,Income below specified threshold and rural/urban status,Subsidized loans for housing construction,Online form submission with income proof,https://pmay.gov.in,Interest rate 6-9% per annum,20 years,Variable based on loan amount,Monthly
National Savings Certificate,Government,All,All,All,All,All,Savings,Minimum age 18,"Fixed interest rate, tax benefits",Visit nearest post office or bank,https://india.gov.in,Interest rate 7-8% annually,5-10 years,Minimum INR 1000,One-time
SBI Youth For India Fellowship,Private,19-35,All,All,Middle,India,Social Impact Projects,Graduates with interest in social work,Stipend and mentorship support,Online application with project proposal,https://sbi.co.in,N/A,1 year,N/A,N/A
LIC New Endowment Plan,Private,All,All,All,Middle,All,Insurance and Savings,"Minimum age 18, maximum 60",Life cover with maturity benefits,Visit LIC branch or online portal,https://licindia.in,Interest rate 6-9% with maturity amount,10-20 years,Variable based on sum assured,Monthly/Yearly
Kisan Credit Card,Government,19-60,All,All,Below Poverty Line,Rural,Agricultural Credit,Farming activities and income proof,Credit up to INR 3 lakhs for farming needs,Application through bank branches or online,https://pib.gov.in,Interest rate 4-8% per annum,1 year renewable,Based on credit used,Monthly or upon loan repayment
Private Wealth Management Plan,Private,36-60,All,All,Upper,Urban,Investment and Wealth Growth,High net worth individuals,"Customized investment portfolio, tax planning",Consultation with wealth advisors,https://privatebanking.com,Varies based on investment portfolio,Ongoing,Minimum INR 1 lakh investment,N/A
Rural Electrification Scheme,Government,All,All,All,All,Rural areas,Electrification and Energy Access,All rural households,Free or subsidized electricity connection,Application at local panchayat or via online portal,https://energy.gov.in,N/A,Ongoing,N/A,N/A
Digital India Microfinancing,Private,19-60,All,All,Middle,Urban and Rural,Financial Inclusion & Digital Literacy,Individuals with digital access and credit needs,Micro loans for digital devices and services,Online application with digital identity proof,https://digitalindia.gov.in,Interest rate 10-15% per annum,1-3 years,Based on loan amount,Monthly
Swachh Bharat Abhiyan Loan,Government,All,All,All,All,Urban and Rural,Sanitation and Waste Management,All households and entities involved in sanitation projects,Loan support for sanitation projects with subsidized interest,Application through local government offices,https://swachhbharat.gov.in,Interest rate 5-8% per annum,N/A,Variable based on loan terms,Monthly
Indira Gandhi National Widow Pension Scheme,Government,60+,Female,All,Below Poverty Line,All India,Pension for Widows,Widows above age 60 with income below specified threshold,Monthly pension of INR 3000,Application through local social welfare offices,https://socialwelfare.gov.in,N/A,Lifetime,N/A,Monthly
Startup India Fund,Private,19-35,All,All,Middle,India,Entrepreneurship Support,Startup registration and innovation focus,"Funding support, mentorship, incubation",Online application with business plan,https://startupindia.gov.in,N/A,Up to 5 years,N/A,N/A
National Skill Development Fund,Government,All,All,All,All,India,Skill Development and Training,Unemployed youth and workers seeking skills training,Financial support for skill training programs,Application through government portals,https://nsdf.gov.in,N/A,Variable,N/A,N/A
National Health Protection Scheme,Government,All,All,All,All,India,Health Insurance,Below poverty line families,Health coverage up to INR 5 lakhs per family per year,Online application with income proof,https://pmjay.gov.in,N/A,1 year renewable,N/A,N/A
Sovereign Gold Bond Scheme,Government,All,All,All,All,All India,Investment and Wealth Creation,All citizens of India,Interest rate 2.5-2.75% plus appreciation in gold price,Online application during tranche release,https://rbi.org.in,Interest rate 2.5-2.75% annually plus gold price appreciation,8 years,Minimum INR 5000,One-time
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Bank Accounts & Financial Inclusion,Open to all residents of India,"Free Zero Balance Accounts, Debit Card, Insurance",Visit nearest bank branch or authorized agency,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Aadhaar Enabled Payment System,Government,All,All,All,All,India,Digital Payments & Financial Access,Aadhaar registered residents,"Cashless transactions, Ease of access",Register Aadhaar and link bank account,https://npci.org.in,N/A,N/A,N/A,N/A
Micro Units Development & Refinance Agency (MUDRA) Loan,Government,19-35,All,All,Below Poverty Line,Urban and Rural India,Microcredit for Small Businesses,Small business owners or entrepreneurs,Low-interest loans up to INR 10 lakhs,Apply through banks or approved microfinance institutions,https://mudra.org.in,Interest rates 8-12% per annum,5-7 years,Variable depending on loan amount,Monthly
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,India,Child Girl Child Savings & Education,Parents or guardians of girl children,"Tax benefits, Attractive interest rates, Maturity in 21 years",Visit bank or post office and open account,https://india.gov.in,Interest rate approximately 7.6% p.a.,21 years or on child's 18th birthday for withdrawal,N/A,Monthly or Yearly
Stand Up India Scheme,Government,19-60,All,OBC,Below Poverty Line,All India,Promotion of Entrepreneurship among SC/ST and Women,SC/ST/women entrepreneurs with business plans,"Credit guarantee, Interest subsidies, Support for startups",Register via online portal and submit business plan,https://sidbi.in,Interest rates 8-10% per annum,7-10 years,Variable depending on loan amount,Monthly
Rashtriya Swasthya Bima Yojana,Government,All,All,All,Below Poverty Line,India,Health Insurance for BPL Families,BPL cardholders,"Health coverage up to INR 30,000, Reimbursement for medical expenses",Apply through BPL card issuing authority or insurance provider,https://msm.gov.in,N/A,1 year (renewable),N/A,N/A
National Pension System (NPS),Government,19-60,All,All,All,India,Retirement Savings & Pension,Indian residents aged 18-60,"Pension benefits, Tax benefits under 80CCD",Register online or via designated banks,https://npstrust.org.in,"Variable, depends on market performance",Lifetime (until retirement),"N/A for registration, contributions vary","Monthly, Quarterly, Annually"
Kisan Credit Card,Government,All,All,All,All,Rural India,Agricultural Financing and Credit,Farmers and agriculture-related businesses,"Low-interest credit, Flexible repayment",Apply at local bank branch with necessary documents,https://pnbindia.in,Interest rate approximately 7-9% per annum,1 year or as per crop cycle,Variable depending on credit utilized,Monthly or as agreed
Nivesh Bandhu (Investment Advisory Scheme),Private,25-60,All,All,Upper,Urban India,Financial Literacy & Investment Guidance,Individuals with income above INR 10 lakhs annually,"Personalized investment advice, Portfolio diversification",Register online with proof of income,https://niveshbandhu.com,N/A,Ongoing advisory service,Service charges applicable,One-time or Annual
Indira Income Support,Government,36-60,All,OBC,Below Poverty Line,All India,Financial Support for Low-Income Families,Households below poverty line with valid ID,Monthly financial aid of INR 2000,Apply through local government offices with income proof,https://indira.gov.in/income-support,N/A,Lifetime,INR 2000/month,Monthly
Youth Microcredit Scheme,Government,19-35,All,General,Middle,Urban and Rural,Microcredit for Entrepreneurship,Young entrepreneurs with a business plan,"Loan up to INR 1 lakh at 4% interest, training support",Online application with business proposal submission,https://youthmicrocredit.gov.in,"Interest rate 4%, repayment in 12 months",1 year,INR 1 lakh max,One-time
Senior Citizens Pension Plan,Government,60+,All,All,All,All India,Pension Support for Elderly,Elderly citizens with valid ID,Monthly pension of INR 3000,Form submission at local offices or online,https://seniorspension.in,N/A,Lifetime,INR 3000/month,Monthly
Women Self-Help Groups Finance,Government,All,Female,All,All,Rural Areas,Microfinance for Women Entrepreneurs,Women belonging to SHGs with a bank account,"Loan up to INR 50,000 with 5% interest",Application through local SHG centers,https://womenshgf.gov.in,"Interest rate 5%, repayment in 6 months to 2 years",Variable,"INR 50,000 max",One-time or quarterly
Apna Bank Loan,Private,19-60,All,All,Middle,Urban,Personal Banking and Loans,Account holder with minimum 1 year of banking history,Personal loans up to INR 5 lakhs at 10% interest,Apply via mobile app or branch visit,https://apnabankloan.com,"Interest rate 10%, repayment in 3 years",3 years,INR 5 lakhs max,Monthly
EduFund India,Private,6-18,All,All,All,All India,Education Savings Plan,Parents or guardians of children aged 6-18,Tax benefits and high interest rate of 7% annually,Online registration with KYC,https://edufundindia.com,"Interest rate 7%, maturity amount varies",N/A,N/A,N/A
Rural Access Bank Scheme,Government,All,All,All,Below Poverty Line,Rural Areas,Banking Access for Rural Population,Residents of rural areas without bank accounts,Zero balance accounts with overdraft facility,Visit local bank branches,https://ruralaccessbank.in,N/A,N/A,N/A,N/A
