scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
Women Entrepreneurs Credit Line,Private,19-60,Female,All,Middle,Urban and Rural India,Supporting women-led startups,Women entrepreneurs with business plan,"Access to credit, business training",Online application with business proposal,https://womenentrepreneurs.com,Interest rate 8% p.a.,5 years
Digital Literacy for All,Government,6-18,All,All,All,Rural and Urban India,Financial Literacy and Digital Skills,Students aged 6-18,"Digital devices, training modules",School registration and parent consent,https://digitalliteracy.gov.in,N/A,N/A
Private Health Insurance for Low Income,Private,19-60,All,SC,Below Poverty Line,All India,Health coverage and financial protection,Low-income individuals,"Health insurance coverage, cashless treatment",Online or in-person application at partner hospitals,https://healthcoverlowincome.com,Coverage in INR 1 lakh,1 year renewable
Educational Loan for Rural Students,Government,19-25,All,OBC,Below Poverty Line,Rural India,Educational funding,Rural students with admission confirmation,"Low-interest loans, fee reimbursement",Application through local education department,https://educationrural.gov.in,Interest rate 6% p.a.,Until loan repayment completion
Financial Literacy Campaigns,Government,All,All,All,All,Nationwide,Promote financial awareness,Open to all citizens,"Educational materials, workshops",Partnership with local NGOs and schools,https://finlit.gov.in,N/A,Ongoing
Startup India Funding Program,Government,19-40,All,All,Upper,Urban India,Supporting startup ecosystem,"Registered startup, innovative idea","Seed funding, mentorship, legal aid","Online application, pitch presentation",https://startupindia.gov.in,Equity share options or repayment,5 years
Rural Banking Expansion Scheme,Private,All,All,All,All,Rural India,Expand banking access,All rural residents,"New bank branches, ATM installations",Partnership with local cooperatives,https://ruralbanking.gov.in,N/A,N/A
Insurance for Small Farmers,Government,19-60,All,ST,Below Poverty Line,Rural India,Agricultural and health insurance,Small farmers owning land below specified size,"Crop insurance, health cover",Application via local cooperative or bank,https://farminsurance.gov.in,"Coverage amount in INR 50,000 to 1 lakh",N/A
Urban Financial Inclusion Program,Government,19-60,All,All,Middle,Urban India,Inclusive banking access,Urban residents with bank accounts,"Zero balance accounts, financial literacy",Online account opening,https://urbanbanking.in,N/A,N/A
Micro Savings for Children,Private,0-18,All,All,All,All India,Encourage savings from a young age,Children below 18 with guardian consent,"Child-focused savings accounts, incentives",Parent/guardian application at bank branch,https://childsavings.com,Interest rate 4% p.a.,N/A
Sahbhagi Bachat Yojana,Government,19-35,All,General,Below Poverty Line,Rural,Savings and Microcredit,Below Poverty Line residents aged 19-35,"Low-interest microloans, savings incentives",Online or branch application with proof of income,https://governmentbank.in/sahbhagi-bachat,Interest rate 6% p.a.,5 years
Urban Microfinance Initiative,Private,36-60,All,OBC,Middle,Urban,Microcredit,"OBC residents in urban areas, aged 36-60",Access to microloans for small businesses,"Application via partner banks, documentation required",https://privatescheme.in/urban-microfinance,Interest rate 8% p.a.,3 years
Senior Citizens Pension Scheme,Government,60+,All,All,All,All,Pension,Senior citizens above 60 years,Monthly pension benefits,Application at local government offices,https://governmentpensions.in/senior-pension,N/A,Lifetime
Skill Development and Financial Literacy Program,Government,19-35,All,Minority,Middle,All,Financial Literacy,Young adults from minority communities,Financial literacy certification and training,Online registration and training sessions,https://financelearn.gov.in/skill-dev,N/A,6 months
Microfinance for Women Entrepreneurs,Private,19-35,Female,OBC,Below Poverty Line,Rural,"Microcredit, Entrepreneurship","Women entrepreneurs in rural areas, aged 19-35","Microloans with low interest, mentorship programs","Application through partner NGOs, documents required",https://womenentrepreneur.in/microfinance,Interest rate 7% p.a.,4 years
Pradhan Mantri Jan Dhan Yojana,Government,All,All,All,All,All,Bank Account Access and Financial Inclusion,Open to all citizens of India,"Free zero-balance savings accounts, accidental insurance",Visit bank branch or online registration,https://pmjdy.gov.in/,N/A,N/A
Rural Banking Access Program,Government,All,All,All,All,Rural,Financial Inclusion,Rural residents with proof of residence,"Access to banking, savings, and microinsurance",Application at local bank branches,https://ruralbank.in/access,N/A,N/A
Private Savings and Investment Plan,Private,36-60,Male,General,Upper,Urban,Savings and Investment,Urban males aged 36-60 with stable income,"High interest savings accounts, investment options",Online application with KYC,https://privatesavings.in/investment,Interest rate 4-5% p.a.,N/A
Child Education Savings Scheme,Government,0-5,All,All,Middle,All,Education Savings,Parents or guardians of children aged 0-5,"Tax benefits, matched savings",Online registration or branch visit,https://educationsavings.gov.in/child-plan,N/A,N/A
Women’s Financial Empowerment Scheme,Government,19-35,Female,All,Middle,All,Financial Literacy and Microcredit,Women aged 19-35 across social categories,"Microloans, financial literacy workshops",Application at local government offices or online,https://womenempower.gov.in/financial,Interest rate 6-7% p.a.,3 years
Self-Help Group Financing Scheme,Government,All,All,OBC,Below Poverty Line,Rural,Microcredit and Social Development,Members of recognized SHGs in rural areas,"Group loans, skill development",Application through local SHG federation,https://shgfinancing.in/,Interest rate 7% p.a.,2 years
Digital Banking for Small Business,Private,19-60,All,General,Middle,Urban,Digital Banking and Microfinance,Small business owners in urban areas,"Access to digital banking, microfinance loans",Online registration with bank verification,https://digitalbanking.in/smallbusiness,Interest rate 9% p.a.,3 years
Agricultural Income Support Program,Government,19-60,All,All,Below Poverty Line,Rural,Income Support,Small and marginal farmers with income below threshold,"Income support payments, crop insurance links",Application via local agriculture offices,https://agriincome.in/support,N/A,N/A
Urban Financial Inclusion Initiative,Government,19-60,All,All,Middle,Urban,Financial Inclusion,Urban residents with bank account,"Bank account access, microinsurance",Online or branch registration,https://urbaninclusion.gov.in/financial-initiative,N/A,N/A
Micro Insurance for Rural Households,Government,36-60,All,All,Below Poverty Line,Rural,Microinsurance,Rural households with income below poverty line,"Microinsurance coverage for health, life",Application at local insurance offices,https://microinsurance.in/rural,N/A,N/A
Youth Employment Guarantee Scheme,Government,19-35,All,All,Middle,All,Employment and Skill Development,Young unemployed individuals,"Job guarantee, skill training",Apply online or at employment centers,https://youthemployment.in/guarantee,N/A,1 year
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Savings and Bank Account Opening,Open to all residents of India above 10 years,"Zero balance accounts, insurance cover, overdraft facility","Visit a bank branch or mobile banking app, provide KYC documents",https://pmjdy.gov.in/,N/A,Lifetime
Aadhaar Enabled Payment System (AEPS),Government,All,All,All,All,All India,Financial Transactions via Aadhaar,Aadhaar linked bank account,"Cash withdrawal, balance enquiry, fund transfer","Visit bank or authorized POS, authenticate via Aadhaar",https://uidai.gov.in/,N/A,N/A
Micro Insurance for Farmers,Government,19-35,All,OBC,Below Poverty Line,Rural India,Insurance Coverage for Crop and Livestock,"Farmers owning land or livestock, below poverty line","Crop insurance, livestock insurance, claims processing support",Apply through local cooperative society or government office,https://agriinsurance.gov.in/,N/A,1 year
Rural Self-Employment Training Institutes (RSETI),Government,19-60,All,All,All,Rural India,Skill Development for Microenterprises,"Graduates, unemployed youth, women in rural areas","Training, seed capital, mentorship",Application through local banks or RSETI centers,https://rseti.gov.in/,N/A,Variable
Post Office Savings Account,Government,6-60,All,All,All,All India,"Savings, Small Deposits",Any resident of India,"Interest on savings, easy access, minimal charges","Visit local post office, fill form, KYC verification",https://indiapost.gov.in/,Interest rate 4-6% p.a.,Lifetime
Microfinance through SHGs,Government,19-60,All,OBC,Below Poverty Line,Rural India,Microcredit and Financial Inclusion,Members of registered SHGs,"Small loans, savings support, credit history building",Application via SHG registration and group meetings,https://mfinindia.org/,N/A,Loan tenure varies
National Pension System (NPS),Government,36-60,All,All,All,All India,Retirement Pension Planning,All Indian residents aged 18-60,"Pension, tax benefits, flexible contributions",Register online or via authorized points of sale,https://npsindia.org/,"Depends on contribution, interest rate varies",Lifetime
Private Microcredit Loan Scheme,Private,19-35,All,General,Middle,Urban India,Small Business Funding,"Small business owners, entrepreneurs","Low-interest microloans, flexible repayment terms","Application via partner banks or NBFCs, documentation required",https://privatefinance.in/,Interest rate 10-12% p.a.,1-3 years
FinTech Digital Savings App,Private,19-60,All,All,Middle,Urban and Rural India,Digital Savings and Investment,"Smartphone users, basic financial literacy","Interest on savings, investment options, easy access","Download app, register, link bank account",https://fintechapp.in/,Interest rate 3-6% p.a.,N/A
Private Credit Union Scheme,Private,19-60,All,All,Upper,Urban India,Credit Facilities and Savings,"Membership required, employment verification","Low-interest loans, savings accounts, financial advice","Join credit union, submit documents, attend meetings",https://creditunion.in/,Interest rate 8-10% p.a.,Variable
Women’s Micro Savings Initiative,Private,19-60,Female,OBC,Below Poverty Line,Rural India,Encourage Savings among Women,"Women in rural areas, below poverty line","Micro-savings account, financial literacy training",Apply through local women’s groups or NGOs,https://womensmicro.in/,Interest rate 2-4% p.a.,Lifetime
Student Financial Aid Program,Government,6-18,All,All,Below Poverty Line,All India,Educational Support and Scholarships,Students from economically weaker sections,"Tuition fee support, scholarships, mentoring",Apply via school or education department portal,https://education.gov.in/,N/A,N/A
Elderly Pension Scheme,Government,60+,All,All,All,All India,Pension for Elderly,Citizens above 60 years with low income,"Monthly pension, health support",Register via local social welfare office or online,https://socialwelfare.gov.in/,N/A,Lifetime
Pradhan Mantri Jan-Dhan Yojana,Government,19-60,All,All,Below Poverty Line,All India,Savings and Banking Access,Open to all citizens above 18,"Basic banking account, no minimum balance",Visit local bank branch or mobile app registration,https://pmjdy.gov.in/,N/A,Lifetime
Rural Microfinance Initiative,Private,19-60,All,OBC,Below Poverty Line,Rural Areas,Microcredit,Residents with small business or entrepreneurial activity,"Access to small loans, financial literacy training",Online application or local NGO support,https://microfinance.org.in/,Interest rate 10-12%,1-5 years
Senior Citizens Savings Scheme,Government,60+,All,All,Middle,All India,Retirement Savings,Indian citizens aged 60 and above,"Interest rate 7.4%, tax benefits",Visit bank branch or post office,https://sarkariexam.com/senior-citizen-savings-scheme/,Interest rate 7.4% per annum,5 years
Women Entrepreneurship Fund,Private,19-35,Female,OBC,Upper,Urban and Rural,Microcredit for Women Entrepreneurs,Women with viable business idea,"Access to loans up to INR 10 lakhs, mentorship programs",Online portal and local government offices,https://womenentrepreneurship.org/,Interest rate 9-11%,3-7 years
Employment Generation Fund,Government,19-60,All,General,Middle,All India,Microenterprise Support,Small businesses and startups,Subsidies and low-interest loans,Apply through government portal or district offices,https://employment.gov.in/,N/A,5-10 years
Digital Wallet Subsidy,Private,15-35,All,All,Middle,Urban,Digital Financial Inclusion,Existing digital wallet users or first-time users,Cashback offers and transaction fee waivers,Download app and register,https://digitalwallet.gov.in/,N/A,N/A
Agricultural Credit Support,Government,19-60,Male,ST,Below Poverty Line,Rural,Farmers' Credit,Registered farmers with land documents,Low-interest loans for crop input and equipment,Apply at local agricultural office or bank,https://agriculture.gov.in/,Interest rate 7-9%,1-3 years
Youth Savings Scheme,Government,15-25,All,All,Below Poverty Line,Urban and Rural,Promoting Savings among Youth,Students and young workers,Higher interest rates and free financial literacy sessions,Online registration via scheme website,https://youthsavings.gov.in/,Interest rate 6-8%,N/A
Small Business Credit Line,Private,19-60,All,All,Upper,Urban,Business Expansion Loans,Registered small businesses,"Flexible loan amounts, quick approval",Online application or bank branch,https://smallbizloans.org/,Interest rate 8-10%,1-3 years
Educational Finance Scheme,Government,6-18,All,All,Middle,All India,Educational Loans,Students enrolled in recognized institutions,"Low-interest loans, scholarship options",Apply through educational institution or bank,https://education.gov.in/,Interest rate 5-7%,1-10 years
Income Supplement Program,Government,36-60,Female,OBC,Below Poverty Line,Rural,Income Support and Financial Inclusion,"Households below poverty line, women-headed households","Monthly income transfer, savings account facilitation",Apply at local government offices,https://incomesupport.gov.in/,N/A,"Monthly, ongoing"
Microinsurance Scheme,Private,19-60,All,All,All,Urban and Rural,Insurance Coverage for Low-Income Groups,All residents meeting scheme criteria,"Affordable insurance plans, health and life cover",Online or at designated agents,https://microinsurance.in/,N/A,Annual renewal
Financial Literacy Campaigns,Government,All,All,All,All,All India,Financial Education and Inclusion,Open to all citizens,"Improved awareness, better financial decision-making",Participation through local workshops and online portals,https://finlit.gov.in/,N/A,Ongoing
Pradhan Mantri Jan Dhan Yojana,Government,0-60,All,All,Below Poverty Line,All India,Bank Account Access and Financial Inclusion,Open to all citizens above 18 with valid ID,"Free zero-balance savings accounts, debit cards",Apply online or at bank branches with ID proof,https://pmjdy.gov.in,N/A,Lifetime
Micro Investment Scheme,Private,19-35,All,OBC,Middle,Urban,Microcredit and Savings,"Income certificate required, age 19-35","Small loans for entrepreneurship, savings account",Online application through partner banks,https://microinvestindia.com,Interest rates 10-12%,3 years
Senior Citizens Savings Scheme,Government,60+,All,All,All,All India,Retirement savings and pension,"Citizens 60 and above, PAN Card required","Interest rate of 7.4%, tax benefits",Apply at bank branches or post offices,https://scoindia.gov.in,Interest rate 7.4% per annum,5 years
Women Entrepreneur Fund,Private,19-50,Female,OBC,Upper,Urban,Microcredit and Business Development,Women-owned businesses with turnover below 1 crore,"Loans up to 50 lakh, business mentoring",Online application with business plan submission,https://womenentrepreneurfund.in,Interest rate 9-11%,5 years
Rural Self-Employment Scheme,Government,18-50,All,SC,Below Poverty Line,Rural Areas,Self-Employment and Microcredit,Rural residents with livelihood potential,"Loan up to 10 lakh, training support",Application through local bank offices,https://ruralscheme.gov.in,Interest rate 8-10%,7 years
Startup India Seed Fund,Government,19-35,All,All,Middle,All India,Startup Funding and Incubation,Innovative startups with prototype,"Seed funding, mentorship, incubation support","Online application, pitch deck required",https://startupindia.gov.in,N/A,2 years
Agriculture Credit Scheme,Government,19-60,All,All,All,Rural and Semi-Urban,Agricultural Financing,"Farmers, agri-entrepreneurs",Low-interest loans for crop cultivation and equipment,Application via cooperative banks or NABARD,https://agrifinance.gov.in,Interest rate 7-9%,1-5 years
Digital Payment Incentive Program,Private,18-60,All,All,All,Urban and Rural,Promoting Digital Payments,All digital payment users,Cashback rewards and discounts,Register through payment apps or websites,https://digitalpayments.in,N/A,Ongoing
Educational Loan Scheme for Rural Students,Government,18-25,All,SC,Below Poverty Line,Rural,Educational Financing,Rural students pursuing higher education,"Low-interest educational loans, scholarship support",Application at designated banks and institutions,https://educationalloans.gov.in,Interest rate 5-8%,5-10 years
Private Health Savings Plan,Private,30-60,All,All,Upper,Urban,Health Savings and Insurance,Individuals with annual income above 15 lakhs,"Tax benefits, health cover",Online registration with health providers,https://healthsavings.in,N/A,Lifetime
Shishu Loan Scheme,Government,0-18,All,General,Below Poverty Line,All India,Child Education and Care,"Parents of children below 18, income proof required","Loans for child education, healthcare",Apply through government portals or banks,https://childcare.gov.in,Interest rate 8-10%,2-3 years
Microinsurance Policy,Private,19-60,All,Minority,Below Poverty Line,Urban and Rural,Insurance for Low-Income Groups,"Individuals below poverty line, age 19-60",Affordable health and life insurance,Application via agent or online,https://microinsurance.in,N/A,1 year
Skill Development Loan,Government,19-35,All,OBC,Middle,All India,Skill Development and Training,"Individuals seeking skill training, income proof required","Loans up to 2 lakh, training fee support",Application through designated training centers,https://skillloan.gov.in,Interest rate 7-9%,2 years
Eco-Friendly Business Grant,Private,25-45,All,All,Upper,Urban,Promoting Eco-friendly Enterprises,Startups with eco-friendly products,"Grant up to 50 lakh, mentorship",Online application with business plan,https://ecobusiness.in,N/A,N/A
National Pension Scheme,Government,18-60,All,All,All,All India,Retirement Savings,All citizens between 18-60 years,"Regular pension, tax benefits",Register online or at pension offices,https://nps.gov.in,"Interest rate varies, pension payout",Lifetime
Urban Microfinance Initiative,Private,19-45,All,All,Middle,Urban,Microcredit for Urban Poor,Urban residents with low income,"Small loans, financial literacy training",Online or direct bank application,https://urbanmicrofinance.in,Interest rate 9-11%,1-3 years
Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Bank account access and financial inclusion,Open to all residents with valid ID,"Free zero-balance account, overdraft facility, debit card",Visit local bank branch or online portal with ID proof,https://financialservices.gov.in/jandhan,N/A,Lifetime
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,India,Affordable housing,"Homeless or living in substandard housing, income below threshold","Housing grant/subsidy, interest subsidy on loans",Apply online or through local government offices,https://pmay.gov.in/,N/A,N/A
Mutual Fund SIP Scheme,Private,19-35,All,All,Middle,Urban,Investment and wealth creation,"Resident Indian, income proof required","Regular investment options, tax benefits, wealth growth",Register online through official website or partner agents,https://mutualfunds.gov.in/,6-12% annually,5-10 years
Senior Citizens Savings Scheme,Government,60+,All,All,All,India,Retirement savings,"Indian senior citizens, age 60 or above","Fixed interest rate, tax benefits, capital safety",Apply at bank branches or Post Office,https://savings.gov.in/senior-citizens,7.4% per annum,5 years (extendable)
Microfinance for Women,Private,19-60,Female,OBC,Below Poverty Line,Rural India,Microcredit for entrepreneurship,"Women entrepreneurs, income below threshold","Small loans, training support, market linkage",Application through microfinance institutions,https://microfinance.gov.in/women,Interest rate 12-15% p.a.,1-3 years
PM Suraksha Bima Yojana,Government,18-65,All,All,All,India,Life insurance cover,"India residents aged 18-65, willing to pay premium","Life cover of INR 2 lakhs, accidental death cover",Online or through insurance agents,https://insurance.gov.in/pm-suraksha,N/A,1 year (renewable)
TechStart Investment Plan,Private,19-35,All,All,Middle,Urban India,Start-up funding and tech investments,Young entrepreneurs with viable tech start-up ideas,"Seed funding, mentorship, market access","Submit business plan online, screening interview",https://techstart.in/investment,"Potential high returns, variable",3-5 years
Rural Electrification Scheme,Government,All,All,All,All,Rural India,Electrical infrastructure development,"Rural households, local government approval","Electrification, connection subsidies",Application via local Panchayat offices,https://ruralelectric.gov.in/,N/A,2-4 years
Insurance for Farmers,Government,19-60,All,All,Below Poverty Line,Rural India,Crop and life insurance,Farmers with valid land records,"Crop insurance, health cover, death benefits",Apply through local co-operatives or online,https://agriinsurance.gov.in/,N/A,1 year (renewable annually)
Digital Payment Initiative,Government,6-18,All,All,All,India,Promote digital transactions,All residents with bank accounts,"Cashback, ease of transactions, financial literacy campaigns",Use digital platforms or bank services,https://digitalindia.gov.in/,N/A,Ongoing
Women Entrepreneur Fund,Private,19-60,Female,OBC,Middle,Urban India,Support women-led businesses,"Women entrepreneurs, business registration","Funding, training, market access",Apply online with business plan,https://womentrust.in/fund,Returns vary based on business success,2-4 years
Pension Scheme for Public Sector Employees,Government,36-60,All,All,Upper,India,Retirement pension,Public sector employees with pension scheme eligibility,"Monthly pension, healthcare benefits",Apply through employer or online portal,https://pension.gov.in/,"Monthly pension, interest on corpus",Lifetime
Affordable Mutual Funds for Youth,Private,19-35,All,All,Middle,Urban India,Investment and savings,"Young residents, income proof","Low-cost mutual fund options, financial education",Register on official website or partner platforms,https://affordableinvest.in/,5-10% annually,5-7 years
Disability Support Scheme,Government,All,All,All,All,India,Financial support for disabled persons,Persons with disability certified by authorities,"Financial aid, skill development programs",Apply through local disability boards or online,https://disability.gov.in/,N/A,N/A
Youth Skill Development Fund,Private,19-35,All,All,All,Urban India,Skill development and employment,Young individuals seeking skill training,"Training grants, placement support",Application via online portal or training centers,https://youthskills.in/,N/A,6 months to 2 years
Pradhan Mantri Jan Dhan Yojana,Government,All,All,All,Below Poverty Line,All India,Financial Inclusion and Banking Access,Open to all citizens of India aged 10 and above,"Zero balance accounts, debit card issuance, insurance coverage","Visit a banking branch or designated kiosk, fill application form, verify identity",https://pmjdy.gov.in/,N/A,Lifetime
Atal Pension Yojana,Government,18-40,All,All,Middle,All India,Pension Security for Unorganized Sector,"Age 18-40, Indian citizen, not covered by any other pension scheme","Monthly pension after retirement, life insurance cover","Register through bank or online portal, provide necessary documents",https://www.npscra.nsdl.co.in/,"Varies based on contribution, approx 5-8% interest rate",Lifetime
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,All India,Child girl education and marriage savings,Parents or guardians of girl children below age 10,"Interest on deposit, tax benefits, maturity amount for marriage or education","Open an account at a bank or post office, submit birth certificate",https://www.nsiindia.gov.in/,Approx 7-8% interest compounded annually,Child's age until 21 or maturity at 18 years
Micro Units Development & Refinance Agency (MUDRA) Scheme,Government,18+,All,All,Below Poverty Line,Rural and Urban India,Microcredit for Small Business Development,"Micro or small business owner, resident of India","Collateral-free loans, interest subsidies, financial support","Apply via bank branch or online portal, submit business plan and ID documents",https://mudra.org.in/,Interest rate around 9-12% depending on loan type,Loan tenure typically 3-5 years
Rural Electrification Schemes,Government,All,All,All,All,Rural Areas,Provide reliable electricity to rural households,"Rural household, Grid connectivity","Electricity connection, subsidized tariffs, infrastructure development","Application at local rural development office, verification process",https://ruralindia.gov.in/,N/A,N/A
Bharat Financial Inclusion Initiative,Private,All,All,All,Middle,Urban and Rural India,Promoting savings and micro-credit services,"Individuals with proof of residence, minimum age 18","Micro-loans, savings accounts, financial literacy programs","Visit branch or partner centers, fill out application forms",https://bharatfin.in/,"Interest rates vary, typically 12-20% on micro-loans",Loan term 1-3 years
Fincare Small Finance Bank Schemes,Private,18+,All,All,Middle,Urban and Rural India,Financial products for underserved segments,"Reside in covered regions, valid ID proof","Savings, micro-loans, insurance, remittance services","Apply online or at branch, provide KYC documents",https://fincarebank.com/,"Interest on savings 4-6%, micro-loans 15-20%",Varies by product
Canara Bank Youth Savings Scheme,Private,18-25,All,All,Middle,All India,Encourage youth savings habits,Students and young professionals aged 18-25,"Higher interest rates, zero minimum balance, discounts on financial products",Open account at any Canara Bank branch or online,https://canarabank.com/,Interest rate around 4-5% annually,N/A
Digital Wallets for Financial Inclusion,Private,All,All,All,Below Poverty Line,Urban and Rural India,Promote digital payments and financial access,Any individual with a mobile phone and ID proof,"Easy digital transactions, cashback offers, financial tracking","Download app, register, verify identity, top-up wallet",https://paytm.com/,N/A,N/A
State Bank of India Microcredit Program,Government,18+,All,All,Below Poverty Line,All India,Microcredit for entrepreneurship,"Micro entrepreneurs, residents of India","Small loans, skill training, mentorship","Application at SBI branch, submit business and identity proof",https://sbi.co.in/,Interest around 10-15% depending on loan size,Typically 1-5 years
National Rural Livelihood Mission,Government,All,All,OBC,Below Poverty Line,Rural India,Self-employment and livelihood enhancement,"Women self-help groups, rural residents","Skill development, financial support, market linkages",Registration through local block offices or online,https://nrlm.gov.in/,N/A,N/A
Kisan Credit Card Scheme,Government,19-35,All,General,Middle,Rural India,Microcredit and Credit Support,Farmer families with valid land documents,"Easy credit access, low interest rates",Apply through local bank branches with land proof,https://agri.gov.in/kisan-credit-card,Interest rate 4% p.a.,5 years
Women’s Financial Empowerment Initiative,Government,19-60,Female,All,Below Poverty Line,Urban and Rural India,"Financial Literacy, Savings, Microfinance",Women aged 19-60 from BPL households,"Access to savings accounts, microloans, financial literacy programs",Registration at designated financial centers or online portal,https://womensfinance.gov.in,N/A,Lifetime
Startup India Fund,Government,19-35,All,All,Upper,All India,Seed Funding and Support for Startups,"Startups registered with DPIIT, business plan required","Funding support, mentorship, incubation services",Online registration on Startup India portal with business documents,https://startupindia.gov.in,N/A,N/A
Microfinance for Small Traders,Private,19-60,All,OBC,Middle,Urban India,Microcredit for Small Traders,Registered small traders with valid shop/market licenses,"Low-interest microloans, financial advice",Application via partner microfinance institutions,https://microfinance.tradebank.in,Interest rate 10% p.a.,3 years
Senior Citizens Savings Scheme,Government,60+,All,All,All,All India,Retirement Savings,Citizens aged 60 and above,"Interest payout, tax benefits, secure savings",Apply through bank or post office with ID proof,https://savingsscheme.gov.in,Interest rate 7.4% p.a.,5 years
Digital Wallet and Payment Support,Private,19-60,All,All,Middle,Urban India,Financial Literacy and Digital Payments,All residents with a mobile number,"Easy digital transactions, cashback offers",Download app and register with mobile number,https://digitalpayments.in,N/A,N/A
Skill Development Microloan,Government,19-35,All,SC,Below Poverty Line,Rural India,Skill Development and Microfinance,Individuals with skill training certification,"Microloans for business start-up, skill enhancement",Apply through local skill development centers,https://skillsmicroloan.gov.in,Interest rate 8% p.a.,2 years
Educational Loan Scheme,Government,18-30,All,All,Middle,All India,Educational Funding,Students admitted to recognized institutions,"Low-interest education loans, flexible repayment",Online application through bank portal with admission proof,https://educationloans.gov.in,Interest rate 9% p.a.,Until repayment completion
Agricultural Insurance Program,Government,19-60,All,All,All,Rural India,Risk Coverage for Farmers,Farmer landholders with crop insurance policy,"Crop damage coverage, financial security",Apply through local agricultural offices,https://agriinsurance.gov.in,N/A,N/A
Self-Help Group Loan Facilitation,Government,19-60,All,OBC,Below Poverty Line,Rural and Urban India,Microfinance and Social Empowerment,Members of registered self-help groups,"Microloans, capacity building",Apply via SHG federation or bank branches,https://shg.gov.in,Interest rate 6% p.a.,3 years
National Pension Scheme,Government,36-60,All,All,Upper,All India,Pension and Retirement Planning,All citizens aged 18-60,"Regular pension, tax benefits",Register online or via bank branches,https://nps.gov.in,Variable based on contribution and market performance,Lifetime
Financial Literacy Campaigns,Government,All,All,All,All,All India,Financial Education and Awareness,All residents,"Increased financial awareness, improved savings habits",Participate via community centers or online modules,https://finlit.gov.in,N/A,Ongoing
Micro Savings Accounts,Private,0-18,All,All,Below Poverty Line,Urban and Rural India,Savings and Financial Inclusion,Children and minors with guardian consent,"No minimum balance, easy access, financial literacy",Apply through partner banks or mobile apps,https://microaccounts.in,N/A,Lifetime
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Banking and Financial Inclusion,"No minimum balance, no age limit for account opening","Zero balance accounts, accidental insurance of Rs. 1 lakh, overdraft facility","Visit bank branch or online portal, fill application form, provide ID proof",https://pmjdy.gov.in/,N/A,Lifetime
Stand Up India Scheme,Government,19-60,Female,SC,Below Poverty Line,All India,Microcredit for SC women entrepreneurs,"SC women entrepreneurs, age 18-60, new business or existing but not more than 2 years old","Collateral-free loans up to Rs. 1 crore, mentorship support","Online application through bank portal, submission of business plan",https://standupindia.gov.in/,Interest rate approx. 10% p.a.,5-7 years
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child Education & Marriage Fund,"Parents or guardians of girl children, birth certificate required","Interest rate 7.6% (as of 2023), tax benefits, maturity amount in INR","Visit bank branch or online portal, open account with child's birth proof",https://financialservices.gov.in/,Interest rate 7.6% p.a.,21 years or until girl turns 21
Atal Pension Yojana,Government,19-40,All,All,Middle,All India,Pension for unorganized sector workers,"Unorganized sector workers aged 18-40, bank account required","Monthly pension after 60 years, flexible contribution","Register via bank or through online portal, choose pension plan",https://pension scheme.gov.in/,"Depends on contribution, approx. 8-10% return on investment",Lifetime or until pension start
Mahila Co-Operative Credit Society Scheme,Private,19-60,Female,OBC,Middle,Rural areas of Maharashtra,Microcredit for women entrepreneurs,"OBC women, membership of local co-op society, age 19-60","Low-interest loans, skill development support, market linkages","Membership registration, loan application through society",N/A,Interest rate around 12% p.a.,3-5 years
FinWell Microfinance,Private,19-60,All,General,Below Poverty Line,"Urban slums, Delhi",Microcredit and financial literacy,"Individuals with livelihood needs, proof of residence, age 18-60","Small loans, financial literacy training, savings support","Application at local branches, verification, approval",https://finwellmicrofinance.com/,Interest rate approx. 15% p.a.,1-3 years
Rural Banking Outreach Program,Government,"6-18,19-35,36-60,60+",All,All,All,Rural India,Rural financial literacy and banking access,"Residents of rural areas, no specific eligibility criteria","Bank account access, financial literacy workshops","Bank outreach camps, community meetings",https://ruralbankingindia.gov.in/,N/A,Ongoing
Urban Financial Inclusion Initiative,Government,19-35,All,All,Middle,Urban India,Access to banking and credit,"Residents of urban areas, age 18-35","Bank accounts, microloans, financial literacy sessions","Bank registration, online application, community programs",https://urbanfininclusion.gov.in/,N/A,Ongoing
Microcredit for Minority Women,Private,19-60,Female,Minority,Below Poverty Line,All India,Microcredit and empowerment for minority women,"Minority women, age 19-60, livelihood needs","Collateral-free loans, skill training, market access","Online application, local NGO support",https://microminoritywomen.org/,Interest rate 14-16% p.a.,2-4 years
Skill Development & Financial Literacy Program,Government,19-60,All,All,All,All India,Financial literacy and skill development,"Open to all, no specific eligibility","Training, workshops, certifications, awareness campaigns",Application through government portal or partner organizations,https://skilldevelopment.gov.in/,N/A,Variable
Elderly Savings Scheme,Government,60+,All,All,All,All India,Retirement savings for elders,Residents of India aged 60 and above,"Interest earnings, tax benefits, savings for retirement","Visit bank or post office, open savings account",https://elderlysavings.gov.in/,Interest rate 7.5% p.a.,Lifetime
